iter	RMSE
0	0.1654817176
1	0.1651982193
2	0.1649489424
3	0.1647196742
4	0.1645250347
5	0.1643336788
6	0.164148426
7	0.1639047807
8	0.1637305011
9	0.1634578834
10	0.1632509729
11	0.1630939675
12	0.1629532013
13	0.16280605
14	0.1626697701
15	0.1625022704
16	0.162349828
17	0.1622499351
18	0.1621101662
19	0.1619894798
20	0.1617815379
21	0.1616995984
22	0.1615880539
23	0.161429323
24	0.1612272323
25	0.1610553547
26	0.1608882881
27	0.1607475337
28	0.1606002399
29	0.1604417213
30	0.1603008177
31	0.1601884448
32	0.1601141481
33	0.15999966
34	0.1598960832
35	0.1597811685
36	0.1596692901
37	0.1595381127
38	0.1594120143
39	0.1592856613
40	0.1591412935
41	0.1590680861
42	0.1589516104
43	0.1588758338
44	0.1587660036
45	0.1586537113
46	0.1585344776
47	0.1584565403
48	0.1583730709
49	0.1583196751
50	0.1582206775
51	0.1581333273
52	0.1580337402
53	0.1579505908
54	0.1578713276
55	0.1577656934
56	0.1576570725
57	0.1575988709
58	0.1574930099
59	0.157390782
60	0.1572904995
61	0.1571999559
62	0.1571134429
63	0.1570277924
64	0.1569187859
65	0.1568645009
66	0.1567770159
67	0.1566822217
68	0.1566049151
69	0.1565380016
70	0.1564349867
71	0.1564043677
72	0.1563072592
73	0.156223135
74	0.1561356284
75	0.1560578587
76	0.1559334165
77	0.1558602769
78	0.1557782168
79	0.1557129515
80	0.1556366755
81	0.1555618657
82	0.1554727182
83	0.1553963674
84	0.1553134115
85	0.1552825785
86	0.1552073887
87	0.1551278051
88	0.1550660077
89	0.1550044613
90	0.1549508406
91	0.1548491248
92	0.1547979978
93	0.154742192
94	0.1547005751
95	0.1546591368
96	0.1546323569
97	0.1545810168
98	0.1545226029
99	0.1544787774
100	0.1544213318
101	0.1543580912
102	0.1543240208
103	0.1542838133
104	0.1542260166
105	0.1541584738
106	0.1540905207
107	0.1540532876
108	0.1540118984
109	0.1539492171
110	0.1538811002
111	0.1538226258
112	0.1537322011
113	0.1537003014
114	0.1536480751
115	0.1535656061
116	0.1534978345
117	0.1534655008
118	0.1534214481
119	0.1533431915
120	0.1532901944
121	0.1532013228
122	0.1531524715
123	0.1530788146
124	0.152995148
125	0.1529444026
126	0.1528759632
