iter	Passed	Remaining
0	153	76535
1	166	41462
2	177	29363
3	188	23324
4	199	19784
5	211	17398
6	222	15696
7	234	14432
8	247	13481
9	260	12740
10	271	12050
11	282	11481
12	294	11044
13	308	10709
14	320	10356
15	330	10000
16	344	9778
17	356	9533
18	367	9315
19	381	9158
20	394	8986
21	405	8815
22	418	8681
23	430	8534
24	442	8399
25	455	8297
26	467	8193
27	478	8074
28	490	7970
29	502	7874
30	514	7780
31	527	7716
32	541	7658
33	552	7573
34	565	7510
35	578	7451
36	590	7384
37	602	7320
38	614	7264
39	627	7221
40	640	7170
41	653	7125
42	665	7075
43	678	7027
44	690	6981
45	702	6931
46	714	6887
47	727	6853
48	740	6813
49	752	6772
50	764	6732
51	776	6691
52	790	6670
53	803	6636
54	814	6591
55	826	6553
56	839	6523
57	851	6485
58	865	6466
59	878	6444
60	891	6417
61	904	6388
62	917	6363
63	929	6333
64	941	6300
65	953	6272
66	967	6251
67	978	6218
68	990	6187
69	1003	6161
70	1015	6136
71	1026	6101
72	1038	6076
73	1050	6047
74	1062	6018
75	1075	5998
76	1086	5968
77	1097	5940
78	1110	5916
79	1122	5893
80	1134	5866
81	1146	5846
82	1159	5824
83	1173	5810
84	1188	5802
85	1200	5778
86	1212	5756
87	1225	5738
88	1237	5714
89	1248	5687
90	1260	5667
91	1272	5645
92	1285	5625
93	1296	5600
94	1307	5575
95	1319	5554
96	1331	5530
97	1342	5508
98	1355	5491
99	1367	5471
100	1379	5450
101	1393	5438
102	1407	5425
103	1420	5408
104	1432	5388
105	1444	5370
106	1460	5363
107	1473	5348
108	1485	5327
109	1497	5308
110	1508	5286
111	1520	5267
112	1532	5247
113	1544	5228
114	1555	5208
115	1568	5191
116	1582	5179
117	1594	5160
118	1607	5145
119	1621	5133
120	1634	5119
121	1647	5104
122	1659	5086
123	1672	5070
124	1684	5052
125	1695	5032
126	1708	5017
127	1721	5003
128	1733	4984
129	1744	4964
130	1757	4949
131	1768	4931
132	1780	4912
133	1790	4891
134	1804	4878
135	1817	4864
136	1829	4847
137	1841	4830
138	1853	4812
139	1865	4797
140	1877	4780
141	1889	4763
142	1901	4746
143	1913	4731
144	1925	4715
145	1937	4698
146	1950	4684
147	1963	4669
148	1976	4657
149	1988	4640
150	2002	4628
151	2016	4617
152	2029	4602
153	2041	4586
154	2053	4571
155	2067	4559
156	2079	4542
157	2092	4529
158	2104	4513
159	2118	4500
160	2129	4483
161	2141	4468
162	2153	4452
163	2167	4441
164	2182	4430
165	2194	4415
166	2208	4404
167	2220	4388
168	2233	4375
169	2245	4359
170	2258	4345
171	2271	4331
172	2283	4316
173	2294	4299
174	2306	4283
175	2317	4266
176	2332	4256
177	2344	4241
178	2356	4225
179	2368	4211
180	2381	4196
181	2394	4183
182	2406	4168
183	2418	4154
184	2431	4139
185	2445	4128
186	2457	4113
187	2469	4098
188	2481	4082
189	2493	4067
190	2505	4053
191	2519	4041
192	2531	4026
193	2542	4011
194	2554	3995
195	2566	3981
196	2580	3969
197	2593	3955
198	2606	3942
199	2620	3930
200	2632	3916
201	2646	3904
202	2660	3892
203	2672	3878
204	2687	3866
205	2700	3854
206	2712	3839
207	2724	3825
208	2738	3813
209	2750	3798
210	2762	3784
211	2775	3770
212	2787	3755
213	2799	3741
214	2811	3727
215	2823	3712
216	2835	3697
217	2847	3683
218	2861	3671
219	2873	3656
220	2885	3642
221	2896	3627
222	2909	3614
223	2920	3598
224	2931	3583
225	2943	3568
226	2955	3554
227	2967	3540
228	2980	3526
229	2992	3512
230	3005	3499
231	3018	3486
232	3030	3473
233	3042	3458
234	3054	3444
235	3065	3429
236	3076	3414
237	3089	3400
238	3102	3387
239	3114	3373
240	3125	3359
241	3139	3346
242	3150	3332
243	3163	3319
244	3176	3306
245	3188	3292
246	3199	3277
247	3210	3262
248	3222	3248
249	3234	3234
250	3245	3219
251	3258	3206
252	3273	3196
253	3285	3182
254	3298	3169
255	3310	3155
256	3323	3142
257	3335	3128
258	3347	3114
259	3359	3100
260	3373	3089
261	3386	3076
262	3398	3062
263	3410	3048
264	3423	3036
265	3438	3024
266	3450	3011
267	3465	2999
268	3478	2986
269	3490	2973
270	3502	2959
271	3514	2945
272	3527	2932
273	3538	2919
274	3552	2906
275	3564	2892
276	3576	2879
277	3589	2866
278	3605	2855
279	3617	2842
280	3629	2828
281	3641	2814
282	3654	2802
283	3666	2788
284	3679	2775
285	3691	2762
286	3704	2748
287	3716	2735
288	3728	2721
289	3740	2708
290	3751	2694
291	3764	2681
292	3775	2667
293	3787	2653
294	3799	2640
295	3812	2627
296	3824	2613
297	3837	2601
298	3849	2588
299	3862	2575
300	3874	2561
301	3886	2547
302	3899	2535
303	3912	2522
304	3924	2509
305	3936	2495
306	3949	2482
307	3962	2470
308	3976	2457
309	3988	2444
310	4000	2431
311	4012	2417
312	4024	2404
313	4035	2390
314	4048	2377
315	4060	2364
316	4074	2351
317	4087	2339
318	4099	2326
319	4112	2313
320	4124	2300
321	4136	2286
322	4149	2273
323	4164	2262
324	4176	2249
325	4188	2235
326	4201	2222
327	4212	2209
328	4226	2196
329	4238	2183
330	4251	2170
331	4263	2157
332	4275	2144
333	4288	2131
334	4300	2118
335	4312	2105
336	4326	2092
337	4339	2080
338	4352	2067
339	4364	2054
340	4376	2040
341	4388	2027
342	4401	2014
343	4413	2001
344	4426	1988
345	4438	1975
346	4450	1962
347	4463	1949
348	4475	1936
349	4488	1923
350	4499	1909
351	4511	1896
352	4524	1884
353	4535	1870
354	4548	1857
355	4562	1845
356	4575	1832
357	4587	1819
358	4602	1807
359	4617	1795
360	4629	1782
361	4640	1769
362	4652	1756
363	4665	1743
364	4678	1730
365	4691	1717
366	4703	1704
367	4715	1691
368	4727	1678
369	4739	1665
370	4752	1652
371	4763	1639
372	4776	1626
373	4788	1613
374	4802	1600
375	4813	1587
376	4825	1574
377	4836	1561
378	4847	1547
379	4860	1534
380	4872	1521
381	4884	1508
382	4897	1495
383	4910	1483
384	4923	1470
385	4935	1457
386	4947	1444
387	4959	1431
388	4970	1418
389	4982	1405
390	4994	1392
391	5007	1379
392	5019	1366
393	5031	1353
394	5043	1340
395	5055	1327
396	5067	1314
397	5080	1302
398	5092	1289
399	5107	1276
400	5120	1264
401	5134	1251
402	5148	1239
403	5161	1226
404	5174	1213
405	5187	1201
406	5199	1188
407	5214	1175
408	5227	1163
409	5238	1150
410	5252	1137
411	5264	1124
412	5276	1111
413	5288	1098
414	5300	1085
415	5314	1073
416	5326	1060
417	5338	1047
418	5351	1034
419	5363	1021
420	5376	1008
421	5389	996
422	5401	983
423	5413	970
424	5426	957
425	5437	944
426	5449	931
427	5461	918
428	5475	906
429	5486	893
430	5499	880
431	5512	867
432	5525	854
433	5537	842
434	5551	829
435	5563	816
436	5577	804
437	5590	791
438	5603	778
439	5616	765
440	5629	753
441	5641	740
442	5652	727
443	5666	714
444	5680	702
445	5691	689
446	5704	676
447	5716	663
448	5727	650
449	5739	637
450	5752	624
451	5764	612
452	5777	599
453	5790	586
454	5803	573
455	5816	561
456	5828	548
457	5840	535
458	5853	522
459	5865	510
460	5878	497
461	5890	484
462	5903	471
463	5915	458
464	5928	446
465	5940	433
466	5952	420
467	5963	407
468	5975	394
469	5988	382
470	6002	369
471	6016	356
472	6029	344
473	6042	331
474	6054	318
475	6067	305
476	6078	293
477	6091	280
478	6101	267
479	6113	254
480	6125	241
481	6138	229
482	6150	216
483	6163	203
484	6175	190
485	6188	178
486	6200	165
487	6212	152
488	6224	140
489	6235	127
490	6247	114
491	6259	101
492	6271	89
493	6283	76
494	6295	63
495	6308	50
496	6321	38
497	6334	25
498	6346	12
499	6358	0
